HITId,tweet,sentiment,directness,annotator_sentiment,target,group,translated_tweet
784,@user un gros mongol et j'ai masque ses contenus car il apparaît sans rien demander. et voir juste ce qu'il fai… @url,offensive,indirect,sadness,other,individual,@user a big mongolian and I have hidden his contents because he appears without asking anything. and just see what he does… @url
785,rt @user @user aaaargh pardon pardon encore un reflexe de gauchiste !,abusive,direct,sadness,origin,other,rt @user @user aaaargh sorry sorry another leftist reflex!
786,@user mdr les mongol,offensive,indirect,indifference,other,special_needs,@user lol Mongolians
787,migrant maladie,abusive,direct,sadness,origin,refugees,migrant disease
788,@user @user ouais ferme la sale renoi,offensive,direct,indifference,origin,african_descent,@user @user yeah shut the fuck up
789,@user pareilj’aime pas voir les gens malheureuxmême ceux que je connais pas vraimentje m’attarde toujours u… @url,normal,indirect,indifference,other,other,"@user the same I don't like seeing people unhappy, even those I don't really know, I always linger a… @url"
790,@user moi il prennent pour un attardé mais wlh ça fume ils comprennent pas notre humour supérieur,abusive_normal,indirect,sadness,other,other,@user me they think they're retarded but wlh it's smoking they don't understand our superior humor
791,@user @user sale raciste je suis amazigh et je ne stigmatise pas les arabes et puisque tu es contre les a… @url,offensive,direct,anger_indifference,origin,arabs,@user @user dirty racist I am Amazigh and I do not stigmatize Arabs and since you are against the a… @url
792,@user @user @user je vais te spoiler toi sale juif ❤,abusive_hateful,direct,anger_confusion_sadness_shock_indifference,religion,jews,"@user @user @user I'm going to spoil you, you dirty Jew ❤"
793,ah oui et la presse française va continuer d'expliquer qu'un arabe criant allahu akbar en tuant un mécréant n'est… @url,hateful,direct,shock,religion,muslims,ah yes and the French press will continue to explain that an Arab shouting Allahu Akbar while killing a disbeliever is not… @url
794,«la montée des populismes s’explique par cette peur des migrants clandestins» @url,hateful,direct,shock,origin,immigrants,“the rise of populism can be explained by this fear of illegal migrants” @url
795,@user dit le gauchiste. quand reçoit des menaces de l extrême gauche et voit les millions de dégâts et les… @url,normal,direct,indifference,origin,indian/hindu,@user says the leftist. when receives threats from the far left and sees the millions of damages and the… @url
796,@user ben oui quebec pauvre le développement économique en autobus ! esti de mongol !,fearful,direct,sadness,origin,individual,@user well yes quebec poor economic development by bus! esti mongolian!
797,les chanteurs renois ils ont une de ses voix super douce à base de doks dadju scridge keblack kalash etc j’aime trop,abusive,direct,sadness,origin,african_descent,the singers from Rennes have one of their super sweet voices based on doks dadju scridge keblack kalash etc. I really like it
798,rt @user @user @user un adepte du lieu commun gauchiste,abusive,direct,sadness,origin,special_needs,rt @user @user @user a follower of the leftist commonplace
799,@user vous êtes fatiguant donc dit fermer sa bouche grr le blackos en face lui normal porte tee shirt bande de faux dérch,normal,direct,indifference,origin,african_descent,@user you are tiring so say shut your mouth grr the black guy in front of him normal wears t-shirt bunch of fake drch
800,le singe mongol est un chic type un bon gars.,abusive,direct,indifference,origin,other,"the Mongolian monkey is a nice guy, a good guy."
801,le tueur n'Était pas anti-trump. anti-trump: dire que trump va trop loin. le tueur pensait qu'il n'allait pas assez… @url,abusive,direct,sadness,origin,african_descent,The killer wasn't anti-Trump. anti-trump: saying that trump goes too far. the killer thought he wasn't doing enough… @url
802,question est simple que se passe t'il dans la tête de certains renois je regarde je comprends pas wesh j'exige d… @url,normal,direct,shock,origin,african_descent,question is simple what is going on in the heads of certain renois I look I don't understand wesh I demand… @url
803,eu sou mt mongol holy,offensive,direct,sadness,origin,other,eu sou mt mongolian holy
804,@user t’as qu’à essayer de gagner mon coeur sale arabe va,offensive,direct,shock,origin,arabs,@user you just have to try to win my heart dirty Arab will
805,loon-plage : la cycliste inventé son agression par des migrants. elle est simplement tombée de son vélo. @url,normal,direct,indifference,other,immigrants,loon-plage: the cyclist invented her attack by migrants. she simply fell off her bike. @url
806,et notre attardé national @user donne notre argent des pays comme la palestine ... le « new york times »… @url,abusive_offensive,direct,confusion_shock,origin,individual,and our national retard @user gives our money to countries like palestine...the “new york times”… @url
807,mongol.,offensive,direct,shock,origin,indian/hindu,Mongolian.
808,@user @user l’islamisation de la france est en marche...financée par les caf. c’est probablement la première… @url,normal,indirect,sadness,religion,muslims,@user @user the Islamization of France is underway...financed by the caf. this is probably the first… @url
809,@user @user @user donc elle pose des soucis attends mais tes tes attardé enfaite tu lance un débat avec… @url,offensive,direct,sadness_indifference,other,individual,@user @user @user so she's causing problems wait but you're retarded so you're starting a debate with… @url
810,@user moi j'avais pas compris et j'suis d'accord avec elle sur triso/autiste et pk pas débile mentale mais md… @url,offensive,direct,sadness_shock_disgust,other,individual,@user I didn't understand and I agree with her on Down syndrome/autism and pk not mentally retarded but md… @url
811,@user sale tiaga prete faire bails sombre avec le premier venu tant quil est arabe...jvai tenclancher,offensive,direct,indifference,origin,arabs,@user dirty tiaga ready to make dark bails with the first one to come as long as he is Arab...I'm going to start
812,@user pk m’prend tjrs pour un mongol sayez ça dit « tu suces » c direct moi aler nvm,offensive,indirect,indifference,other,individual,@user pk always takes me for a Mongolian say it says “you suck” it’s direct to me aler nvm
813,@user la vem mongol,offensive,direct,confusion_indifference,other,individual,@user mongolian vem
814,@user @user @user non je préfère juste que tu arrêtes d'employer ton vocabulaire de gauchiste (c… @url,normal,indirect,shock,other,individual,@user @user @user no I just prefer that you stop using your leftist vocabulary (c… @url
815,@user @user @user @user c’est juste que d’habitude s’attarde plus sur la couleur de mes fringues,normal,indirect,indifference,other,other,@user @user @user @user it's just that I usually focus more on the color of my clothes
816,j'aime une vidéo @user elle est contre l’avortement - cam clash à l'adresse @url,abusive,direct,sadness,origin,individual,I like a video @user she is against abortion - cam clash at the address @url
817,@user @user aucun rapport sachant que les rebeus sont rois en la matière,normal,indirect,indifference,origin,arabs,@user @user no relation knowing that the rebeus are kings in this matter
818,mais quel pays d’attardé bon dieu @url,offensive,direct,shock,origin,other,but what a retarded country good god @url
819,grace dieu l été est finie verra - de renois et de rebeux blonds !,fearful_abusive,direct,confusion_fear_indifference_sadness_disgust,origin,other,thank god summer is over we'll see - of Renois and blond Rebeux!
820,@user @user @user @user @user deja faut etre un attarde pour comparer un viol et un... @url,offensive_normal,indirect,indifference,disability,other,@user @user @user @user @user you have to be a retard to compare rape and... @url
821,ya des rebeus et israeliens qui créent des comptes avec une pp de noirs pour faire des tweets negrophobes mais vous tombez dans le panneau,offensive,indirect,anger_confusion_shock_indifference_disgust,origin,other,there are rebels and Israelis who create accounts with a lot of black people to make negrophobic tweets but you fall into the trap
822,le langage gauchiste devient une langue morte.,abusive,direct,shock,origin,left_wing_people,leftist language becomes a dead language.
823,@user @user ou la la qu'elle dangereuse gauchiste lol,fearful_abusive_hateful_disrespectful_normal,indirect,sadness,other,left_wing_people,@user @user or what a dangerous leftist lol
824,rt @user la diarrhee gauchiste en pls...n#bolsonaro @url,fearful,direct,sadness,origin,other,rt @user the leftist diarrhea in pls...n#bolsonaro @url
825,@user @user @user triste attardé,offensive,indirect,shock,other,special_needs,@user @user @user sad retard
826,les rebeus doux et civilisés jvs love,normal,direct,confusion_indifference,origin,arabs,gentle and civilized rebeus jvs love
827,les rebeus faut arrêter chaque dîner de faire du couscous naima qui danse juste la honte !!!! faut revoir t'on repas #udpp,offensive,direct,sadness,origin,other,the rebeus must stop every dinner making naima couscous which just dances shame!!!! need to see your meal again #udpp
828,les pro migrants bien pensants offrent au patronat un lumpen prolétariat sur un plateau . honte à eux.,abusive,direct,anger_fear_indifference_sadness_disgust,origin,immigrants,right-thinking pro-migrants offer the employers a lumpen proletariat on a platter. shame on them.
829,@user y’a des tweets qui mérite pas de réponse aussi mongol mais avec la connerie que t’as dites là y’en fallait une,offensive,direct,shock,other,individual,"@user there are tweets that don't deserve such a Mongolian response but with the stupidity you said there, one was needed"
830,quel mongol s'il avait pas l'accent du sud pourrait croire qu'il est né dans le nord... @url,abusive_normal,direct,shock,origin,asians,what Mongolian if he didn't have a southern accent would believe he was born in the north... @url
831,elle quand même comparer le fait de bouffer de la viande à la suprématie blanche ! alors mes rebeus et renois… @url,offensive,direct,anger_sadness_shock_indifference_disgust,origin,african_descent,she still compares eating meat to white supremacy! so my rebeus and renois… @url
832,@user sos racisme est une bande de dégénérés bobo gauchiste de première,offensive,indirect,anger_indifference,origin,left_wing_people,@user sos racism is a bunch of leftist bobo degenerates of the highest order
833,@user @user @user pse mongol,offensive,indirect,sadness_indifference,disability,individual,@user @user @user mongolian pse
834,@user ce sont les mêmes qui font la morale contre l'avortement....,hateful,direct,shock_indifference,origin,christian,@user they are the same ones who preach morality against abortion....
835,@user des bots porn serement,offensive,direct,anger_confusion_sadness_indifference_disgust,origin,other,@user porn bots surely
836,ce sont tes frères qui veulent tabasser des renois car leur sœur sont attirées par des renois n’inversons pas… @url,disrespectful,direct,sadness,origin,hispanics,"it’s your brothers who want to beat up the Renois because their sister is attracted to the Renois, let’s not reverse it… @url"
837,allemagne : les clans arabes font la loi....,hateful,direct,shock,origin,indian/hindu,Germany: Arab clans make the law....
838,@user la binarite meprisante du discours gauchiste suinte...,offensive,indirect,indifference,other,left_wing_people,@use the contemptuous binary of leftist discourse oozes...
839,@user je ne suis pas attardé sur ce point. pour résumer coût de la seule partie ferme du projet = 100m€ s… @url,normal,indirect,shock,other,other,@user I am not dwelling on this point. to summarize cost of the only firm part of the project = 100m€ s… @url
840,@user euh pour la première partie jsuis absolument pas d’accord à quel moment jt’ai pris pr un mongol et de 2… @url,offensive_disrespectful_normal,indirect,indifference,disability,special_needs,@user uh for the first part I absolutely disagree at what point I took you for a Mongolian and 2… @url
841,je suis plus beau que tous vos rebeus,abusive,direct,indifference_disgust,origin,other,I am more beautiful than all your rebels
842,mongol. @url,offensive,direct,shock,other,other,Mongolian. @url
843,le juif : bonnes fêtes de roch hachana,hateful,direct,indifference,origin,other,the Jew: happy holidays of Rosh Hashanah
844,@user @user @user @user @user mon dieu il faut vraiment être un attardé mdr,offensive,direct,shock,disability,special_needs,@user @user @user @user @user my god you must really be a retard lol
845,contre l'immigration et l'islamisation de la france la seul parti qui défend la france c'est le rn (et dlf) @url,hateful,direct,shock,origin,immigrants,against immigration and the Islamization of France the only party that defends France is the RN (and DLF) @url
846,les rebeu &amp; les renois non parents quand il part au supermarché il cherche à acheter que des moins cher et nous les… @url,abusive,direct,fear_sadness,origin,indian/hindu,les rebeu &amp; non-parent Renois when he goes to the supermarket he only tries to buy the cheapest ones and we… @url
847,oh jean tu resteras dans la tete de certains qu un sale arabe un sale bougnoule...tot ou tard te rappellera que… @url,offensive,direct,shock,origin,individual,oh jean you will stay in the heads of some that a dirty Arab a dirty crook...sooner or later will remind you that… @url
848,@user @user en fr ça vas devenir le seul rempart contre l'islamisation et les agressions journalière… @url,fearful_abusive,indirect,sadness,religion,muslims,@user @user en fr it will become the only defense against Islamization and daily attacks… @url
849,#ggrmc oublie que tu es un rebeus moustaphasoit objectif 2 secondes !!!,abusive_disrespectful,direct,shock,origin,arabs,#ggrmc forget that you are a rebeus mustaphasoit objective 2 seconds!!!
850,@user des autiste attardé jte dit,fearful,direct,anger_confusion_shock_indifference_disgust,origin,other,@user of retarded autistic people I said
851,zemmour sur les migrants : paris première mise en demeure par le csa…,offensive,indirect,indifference,other,other,zemmour on migrants: Paris first formal notice by the CSA…
852,g 1 torticoli ca fait depui cmatin g la tête penchee sur la droite dirait 1 mongol,fearful,direct,shock,origin,individual,g 1 torticoli it's been since cmatin g the head tilted to the right would say 1 mongolian
853,comment expliquer ce glissement historique d’une gauche qui toujours été largement anticléricale face à l’Église… @url,abusive_normal,direct,sadness,other,left_wing_people,how to explain this historic shift of a left which has always been largely anticlerical towards the Church… @url
854,@user @user @user wesh link t'es un attardé ou pas j'ai fait 3 tweets avec la même expression pour faire c… @url,offensive,direct,indifference,other,individual,@user @user @user wesh link are you retarded or not I made 3 tweets with the same expression to make it… @url
855,@user tant de violence ... @url,normal,indirect,indifference,other,other,@use so much violence... @url
856,jai fait croire à tout le monde que j'étais une albanaise ptdrrrr alirs que jai une sale gueule d'arabe trop naïf les gens,abusive,direct,shock,origin,arabs,I made everyone believe that I was an Albanian ptdrrrr alirs that I have a dirty Arab face too naive people
857,rt @user @user @user vous connaissez un autre mot que extreme droite madame la gauchiste? ca fait un peu cucul je,abusive,direct,indifference,origin,other,rt @user @user @user do you know another word than extreme right madam leftist? it's a bit corny for me
858,@user mdrrr était juste à côté rien entendu un attardé ce mec @url,offensive,indirect,shock,other,individual,@user mdrrr was right next door nothing heard a retard this guy @url
859,tout individu noir arabe ou qui crie allah akbar est un terroriste. par contre un blanc d'extrême droite antisém… @url,abusive,direct,indifference,origin,other,"any black Arab individual or individual who shouts Allah Akbar is a terrorist. on the other hand, a white far-right anti-Semitic… @url"
860,@user est pas bien la ? entres renois ?,disrespectful_normal,indirect,shock,origin,african_descent,@user is not there? between Rennes?
861,une fois une sud-africaine m'a lâché un mais t'es pas africaine dégage tlmt sale parce que j'ai dit l'être bc ou… @url,abusive,direct,sadness_fear,origin,indian/hindu,once a South African woman let me go but you're not African get off dirty tlmt because I said I was bc or… @url
862,@user gauchiste=dictateur,fearful_hateful_normal,direct,shock,other,left_wing_people,@user leftist=dictator
863,latinos (ou rebeus mais vite fais) @url,abusive,direct,sadness,origin,other,latinos (or rebeus but quickly) @url
864,je fais partie de l’élite des rebeus,offensive,direct,shock,origin,other,I am part of the elite of the rebeus
865,@user @user c'est à dire que tu doutes de la violence des migrants ? du doute d'une réalité ? tu sais po… @url,offensive,direct,indifference,origin,immigrants,@user @user that means you doubt the violence of migrants? doubt of a reality? you know for… @url
866,rt @user ce sont plutot les collabos gauchiste qui avaient tourne les yeux de leurs pauvres congeneres causes d'eux des millier,offensive,direct,sadness,origin,christian,rt @user it was rather the leftist collaborators who had turned the eyes of their poor fellows because of them thousands
867,après que le renois ai eu ce qu’il voulait il l’a raillé dans ça liste,normal,direct,fear_sadness,origin,other,after the renois got what he wanted he mocked him in this list
868,@user sale pute de féministe,offensive,direct,anger_shock_indifference_disgust,gender,women,@user dirty feminist whore
869,Ça ft 6h tu tweet sur les mariages rebeus la meuf que tu voulais gérer va s’marier avec un arabe ou quoi? @url,disrespectful,direct,sadness,origin,christian,"It's been 6 hours, you're tweeting about Arab marriages, the girl you wanted to manage is going to marry an Arab or what? @url"
870,ahri e kassadin champion mongol,fearful,direct,anger_sadness_shock_indifference_disgust,origin,individual,ahri e kassadin mongolian champion
871,part passez pour un mongol jvois rien @url,fearful,direct,sadness,origin,other,"share, think it's a Mongolian, I don't see anything @url"
872,laissez moi 3 minutes avec mon chat et je deviens un attardé profond,abusive,direct,sadness,origin,other,give me 3 minutes with my cat and I become a deep retard
873,@user toi tfacon c’est tarte citron 280 et rebeus barbus,offensive,indirect,confusion_indifference,origin,arabs,@user you tfacon it’s lemon tart 280 and bearded rebeus
874,@user entre les juif et les arabe tout le monde sais qui poignarde dans le dos sale puteri,abusive_hateful,direct,anger,religion,jews,@user between the Jews and the Arabs everyone knows who stabs in the back dirty whore
875,@user @user trouve toi un taff sale arabe,offensive,direct,shock,origin,arabs,@user @user find yourself a dirty Arab job
876,@user jte jure mdrrr c'est quoi cet attardé,offensive,direct,indifference,other,individual,@user I swear lol what is this retard
877,@user bolsonaro : ordre morale droiture respect ; haddad mafia gauchiste degeneree depravee,disrespectful,direct,sadness,origin,left_wing_people,@user bolsonaro: moral order righteousness respect; haddad mafia leftist degenerate depraved
878,dc en fait au ils n'ont tjrs légalisé l'avortement ça reste un sujet tabou. par contre ça fait 4ans qu'on appren… @url,normal,direct,indifference,gender,other,"so in fact they have not yet legalized abortion, it remains a taboo subject. on the other hand, we’ve been learning for 4 years… @url"
879,- petit mongol « À part porter réserve tu sais faire quoi ??? »,offensive,direct,shock_indifference,origin,individual,"- little Mongolian “Apart from carrying a reserve, what do you know how to do??? »"
880,les marocains ils debate avec un mongol qui croit que lportugal c en amérique du nord jsp cmt vs pouvez tenir jlaur… @url,normal,direct,indifference,origin,other,the Moroccans they debate with a Mongolian who believes that Portugal is in North America jsp cmt vs can hold jlaur… @url
881,@user @user un vrai mongol celui là,offensive,indirect,indifference_disgust,other,individual,@user @user a real Mongolian this one
882,« 3 milliard d'homme sur terre et tu t'attarde sur quelqu'un d'indeci » j’avoue pas mal celle-là..,normal,indirect,indifference,other,other,“3 billion people on earth and you focus on someone undecid” I admit that one is pretty good..
883,rt @user ce passage sur le marin chinois mais serieusement  empereur ching chong ayaaa  @user @url,abusive,direct,sadness_indifference,origin,other,rt @user this passage about the Chinese sailor but seriously emperor ching chong ayaaa @user @url
884,les renois comme ça vener @url,abusive,direct,sadness,origin,other,Renois like that come @url
885,@user un fils de pute qui s'amuse à spam tout le monde en leur proposant des plan cul rebeus gay et q… @url,offensive,indirect,shock,sexual_orientation,individual,@user a son of a bitch who likes to spam everyone by offering them gay sex plans and what… @url
886,@user mlq mongol,offensive,direct,anger_indifference_disgust,other,individual,@user mlq mongolian
887,tout les renois en sueur devant ce tweet @url,abusive,direct,shock,origin,indian/hindu,all the Renois are sweating in front of this tweet @url
888,sal putain ton style de gars c est les renois? — bonjour déjà @url,abusive,direct,sadness,origin,other,sal damn is your guy style the renois? — hello already @url
889,@user c’est sale arabe tous les mêmes j’ai envie de les gifler,hateful,direct,confusion_fear_shock_indifference_sadness,origin,asians,@user it's dirty Arab all the same I want to slap them
890,@user mais tout à fait ! tu vois à quel point mon coeur est grand même envers les réfugiés d'une peupla… @url,normal,indirect,sadness,origin,refugees,@user but absolutely! you see how big my heart is even towards the refugees of a people… @url
891,ptdr tuchel il parle français d'un coup il bascule en anglais le mongol de paganelli il avalé sa langue en direct,fearful_abusive_offensive_disrespectful,direct,anger_sadness_indifference_disgust,origin,individual,ptdr tuchel he speaks French suddenly he switches to English Paganelli's Mongolian he swallows his tongue live
892,@user toute la matinée et toi tu veux aller quand y’a cours sale arabe,offensive,direct,sadness_shock_indifference_disgust,origin,arabs,@user all morning and you want to go when there is class dirty Arab
893,c'est mieux que je ne m'attarde plus sur certaines personnes en fait,normal,direct,sadness,origin,other,It's better that I no longer dwell on certain people in fact
894,les renois ils ont des gènes de titans wsh ils poussent 3 jours ils sont stock,hateful,direct,anger_fear_indifference_sadness_disgust,origin,individual,the renois they have titan genes wsh they grow 3 days they are stock
895,@user y'a aussi plein de pays africains qui ne sont pas en guerre pouvant les accueillir. avant que ce dé… @url,normal,indirect,shock,origin,refugees,@user there are also plenty of African countries that are not at war that can accommodate them. before this die… @url
896,@user mediapart islamo - gauchiste ? c est le titre la plenel ou j ai mal compris ?,normal,direct,sadness_shock_indifference_disgust,religion,muslims,@user mediapart islamo - leftist? Is this the full title or did I misunderstand?
897,@user @user @user c'est pas sucer c'est juste un putain de pavé troll l'attardé #lensois21,offensive,indirect,anger_indifference,other,individual,@user @user @user it's not sucking it's just a fucking block troll the retard #lensois21
898,@user si vous souhaitez aider les migrants arrêtez de déstabiliser leurs pays qui les font fuir aux périls de leur… @url,offensive,indirect,indifference,origin,immigrants,@user if you want to help migrants stop destabilizing their countries which make them flee at the peril of their… @url
899,bah y'a qu'à quand même de très belles phrases si s'y attarde un peu @user @url,normal,direct,confusion_sadness,origin,asians,well there are still some very beautiful sentences if you look at it a little @user @url
900,c'est moi attardé ! je suis tombé !,hateful,direct,shock,origin,indian/hindu,It’s me retard! I fell!
901,@user tiens je donne l'exemple : sale arabe de merde,offensive,direct,indifference_disgust,origin,arabs,@user I'll give the example: dirty Arab shit
902,y’a quand même un mec qui dit « les beurrettes laisse placent aux beurrets » ce n’est pas psk des rebeus ne sont… @url,offensive,indirect,anger_confusion_indifference_disgust,origin,arabs,there’s still a guy who says “let’s leave the butterlets to the butterts” it’s not psk des rebeus aren’t… @url
903,mongol demais.,offensive,direct,shock,religion,other,Mongolian forever.
904,vasy leno c’est un attardé,offensive_hateful,indirect,indifference,other,individual,Vasy Leno is a retard
905,voilà le résultat du rapport sur l'islamisme qui confond islam et terrorisme.,normal,indirect,indifference,religion,muslims,this is the result of the report on Islamism which confuses Islam and terrorism.
906,@user @user et c'est contre l'avortement ...la pma....mais la pédophilie ....c'est pas grave.....ils so… @url,fearful_abusive_hateful_disrespectful,indirect,sadness,religion,other,@user @user and it's against abortion...PMA....but pedophilia....it's not serious.....they're… @url
907,@user pourquoi y'a un mongol dans l'armée du 3eme reich ??,abusive_offensive_disrespectful,indirect,indifference,disability,special_needs,@user why is there a Mongolian in the army of the 3rd Reich??
908,@user @user avec castaner l'islamo-gauchiste l'interieur...je crains que non!,offensive,direct,indifference,other,left_wing_people,@user @user with castaner the Islamo-leftist inside...I fear not!
909,nn ctoi qui va menvoyé — bah envoie dm jpeux pas savoir qui c'est mongol @url,normal,direct,sadness,origin,individual,nn cyou who will send me — well send dm I can't know who it is mongol @url
910,*mongol,disrespectful,direct,confusion_indifference,origin,indian/hindu,*Mongolian
911,@user @user @user gné? agrandir l'interface pour s'adapter à un écran beaucoup plus petit ç… @url,normal,indirect,indifference,other,other,@user @user @user gné? enlarge the interface to fit a much smaller screen ç… @url
912,@user fig. 1 - l’identitarisme et le terrorisme intellectuel.,abusive_disrespectful_normal,direct,indifference,other,other,@user fig. 1 - identitarianism and intellectual terrorism.
913,bon anniversaire attardé mental de kiki,abusive,direct,shock,origin,asians,happy birthday mentally retarded from kiki
914,@user @user pour gagner du temps notons dès à présent que c'est le lobby juif qui contrôle à la fois :,hateful,indirect,sadness,religion,jews,@user @user to save time let us note now that it is the Jewish lobby which controls both:
915,le feat lacrim x 6ix9ine va être énervé mais d’une violence,abusive,direct,indifference_disgust,origin,other,the feat lacrim x 6ix9ine will be angry but violent
916,@user @user donc.. dénoncer une fake news c'est faire du militantisme gauchiste..,offensive,indirect,confusion_indifference,other,left_wing_people,@user @user therefore... denouncing fake news is leftist activism..
917,@user @user @user @user @user fallait oser rapprocher philippe gauchiste cach… @url,abusive_disrespectful,indirect,indifference,other,individual,@user @user @user @user @user had to dare to bring together hidden leftist Philippe… @url
918,@user @user il 19 ans l'attardé il lui faut du temps et pourtant en 2 ans de carrière en pro il est… @url,abusive_hateful,direct,shock_disgust,disability,special_needs,"@user @user he is 19 years old, the retard, he needs time and yet in 2 years of professional career he is… @url"
919,@user @user @user ah oui ? et ca c...est quoi ? @url,normal,indirect,indifference,other,other,@user @user @user oh yes? and that...what is it? @url
920,@user mais soma gros mongol cinnamon c’est quoi?,normal,indirect,anger_sadness_indifference_disgust,disability,special_needs,@user but soma big mongolian cinnamon what is it?
921,antisémite complotiste et anti-trump… qui est l’auteur de la fusillade qui fait onze morts dans une synagogue à… @url,fearful_abusive,direct,sadness,origin,african_descent,anti-Semitic conspirator and anti-Trump... who is the author of the shooting that left eleven dead in a synagogue in... @url
922,@user oula une critique du soviet suprêm une opposition au programme sur les migrants suite à sa lecture !!!,offensive,indirect,fear_indifference,origin,immigrants,@user oula a criticism of the supreme soviet an opposition to the program on migrants following his reading!!!
923,le bonheur va et vient et ne s'attarde pas toujours aux plus méritant mais à ceux qui apprennent à le saisir au pas… @url,abusive,direct,confusion_sadness_shock_indifference_disgust,origin,other,happiness comes and goes and does not always linger on the most deserving but on those who learn to seize it step by step… @url
924,@user tu et faré cas tros de mongol.,offensive,direct,sadness,origin,special_needs,@user you and faré case too much Mongolian.
925,@user pourquoi tu t’évertue à démontrer à chaque tweet que t’es une grosse mongol ? respectes toi un peu nan?,offensive,direct,indifference,other,individual,"@user why do you strive to demonstrate with every tweet that you are a big Mongolian? Have some respect for yourself, no?"
926,la semaine dernière c’était l’africanisation et l’islamisation de la france aujourd’hui c’est le négationnisme . @url,abusive,direct,sadness,origin,other,Last week it was the Africanization and the Islamization of France today it is negationism. @url
927,la france un pr autiste - ou débile - ou camé. j'arrive plus à savoir. @url,normal,direct,anger_confusion_fear_shock_sadness,origin,other,France a pr autistic - or stupid - or addict. I can't figure out anymore. @url
928,@user @user donc c'est bien ce que je dis est superieur,offensive,indirect,indifference,other,other,@user @user so that's what I'm saying is superior
929,y'a une meuf dans classe elle se pleins du racisme envers les arabes mais taleur elle traiter un asiatique de... @url,normal,indirect,indifference,origin,arabs,there's a girl in class she's full of racism towards Arabs but she treats an Asian like... @url
930,@user g un prof d’eco doctorant et chercheur il sorti des 10aines de livres dirait un attardé qd il parle,offensive,indirect,indifference,other,individual,"@user g an eco professor, doctoral student and researcher, he came out with 10 books, he would say a retard when he speaks"
931,@user c’est attardé qui dérange mais dans le font le même avis faire des photos dénudées déjà l… @url,abusive,direct,indifference,origin,other,@user it's retarded which bothers but in the same opinion take naked photos already l… @url
932,@user oue ils sont tous attarde miskine,offensive,direct,sadness,other,special_needs,@user oue they are all retard miskine
933,@user toujours tu vas trop loin,normal,indirect,indifference,other,other,@user always you go too far
934,@user @user tant d'imbéciles ne réalisent pas à quel point l'invasion arabo-musulmane de l'europe peut être dangereuse.,hateful,indirect,sadness_disgust,religion,muslims,@user @user so many idiots don't realize how dangerous the Arab-Muslim invasion of Europe can be.
935,cuadrado faut le fumer cet attardé ptn il est trop nul j'ai la haine casse toi de mon club @user,offensive_hateful,direct,indifference,other,individual,cuadrado you have to smoke it this ptn retard he is too bad I hate get rid of my club @user
936,même en étant gauchiste pro migrants j'aurais baillé en lisant c…,normal,direct,sadness,other,left_wing_people,even being a pro-migrant leftist I would have yawned while reading this...
937,j’ai le droit de dire que c’était un sale arabe mais que je vous vois pas répéter la même chose hein,offensive,direct,sadness_indifference,origin,african_descent,I have the right to say that he was a dirty Arab but I don't see you repeating the same thing eh
938,les renois ils sont trop beaux c fou,offensive,direct,sadness_indifference,origin,other,the renois they are so beautiful it’s crazy
939,@user @user @user @user @user moi bobo gauchiste?!!  pauvre dame vous e... @url,fearful,indirect,sadness,other,left_wing_people,@user @user @user @user @user me bobo leftist?!!  poor lady you e... @url
940,@user @user faut vraiment être un attardé pour soutenir les femens. oui à l égalité homme femme non aux degenerés,offensive,direct,indifference,gender,women,@user @user you really have to be a retard to support femens. yes to equality between men and women no to degenerates
941,@user @user @user 1) t'es attardé,offensive,direct,indifference,other,individual,@user @user @user 1) you're retarded
942,cyber-harcèlement: un jeune homme de 25 ans reconnu coupable de viol à distance @url via @user,normal,direct,indifference,other,other,cyber-harassment: a 25-year-old young man convicted of remote rape @url via @user
943,@user @user @user gauche anti religieuse en général ou extreme droite anti islam tout court (pou… @url,normal,indirect,shock,religion,other,@user @user @user left anti-religious in general or extreme right anti-Islam in general (for… @url
944,@user je m’imagine deja les mises en scene de mongol que j’allais faire,offensive,direct,sadness,other,other,@user I can already imagine the Mongolian productions that I was going to do
945,@user ptdrrrr eh j’ai explosé kenny c’est un attardé @url,offensive,indirect,sadness,other,individual,@user ptdrrrr eh I exploded kenny he’s a retard @url
946,@user @user ptdrr tout s’enchaine aucun effet ? bon je pense que tu es attarde donc la discussion est inutile,offensive,direct,indifference_disgust,other,individual,"@user @user ptdrr everything goes smoothly, no effect? well I think you are retarded so the discussion is useless"
947,rt @user elle fait le point.nregarde ou elle en estns'attarde sur les virgulesnouvre des parenthesesnle trema de naeve se chang,abusive,direct,sadness,origin,other,rt @user she takes stock.nlooks where she isndwells on commasnopens parenthesesnnaeve's trema is changing
948,ptn mais wallah il rend ouf à bugger dirait un mongol,abusive_disrespectful,direct,sadness,disability,special_needs,ptn but wallah it makes bugger wow a mongol would say
949,gauchiste,abusive_disrespectful,direct,sadness,disability,jews,leftist
950,t’piétine ta mère pour un « sale noir sale arabe »,hateful,direct,anger_disgust,origin,african_descent,you trample on your mother for a “dirty black Arab”
951,@user @user @user @user @user ca metonne pas pr elle t'es une gauchiste pro islamist... @url,offensive,indirect,indifference,other,left_wing_people,@user @user @user @user @user it doesn't matter because you're a pro-Islamist leftist... @url
952,sosracisme.... je préfère ne rien écrire.... cette association gauchiste ne sert à rien ! @url,fearful,direct,indifference,origin,other,sosracism.... I prefer not to write anything.... this leftist association is useless! @url
