HITId,tweet,sentiment,directness,annotator_sentiment,target,group,translated tweet
806,@user @user @user @user @user بول البعير لو ابيعه اغلى من قيمتك,offensive,direct,shock,other,individual,"@user @user @user @user @user The camel’s urine, if I sell it, it is more expensive than your value"
807,@user @user @user شكلك شارب بول البعير اليوم عالريق ما في منح ولا اشي انتو بتعطو منح للحكومة والح… @url,fearful,indirect,sadness,other,individual,@user @user @user You seem to be drinking camel urine today on an empty stomach. There are no grants or anything. You give grants to the government and the government... @url
808,ممحونه ديوثه ديوث تعالو ببي e355847a,offensive,indirect,shock,other,individual,"Empty, cuckold, cuckold, come to me e355847a"
809,@user و إجابة على سؤالك نعم في نسبة من التحرش و بطرق ما شفتها إلا في السودان، لكن يبقى السؤال: إلى أي مدى استوعب… @url,normal,indirect,indifference,gender,other,"@user And in answer to your question, yes, there is a percentage of harassment and in ways that I have only seen in Sudan, but the question remains: to what extent has it been understood... @url"
810,#من يثق بالصهيوني مندوب الامم المتأمرة غريفث فهو شريك اصيل في تعطيل تحرير اليمن ودعم ارهابي خنازير ملالي ايران الحو… @url,abusive_hateful,indirect,indifference,origin,other,"#Whoever trusts the Zionist, the representative of the conspiring nations, Griffiths, is a genuine partner in obstructing the liberation of Yemen and supporting the terrorist, pig, mullahs of Iran, the Houthis... @url"
811,صور.. أحمد ضحية التحرش.. دافع عن شقيقته فاقتحم المتهم منزله وهشم رأسه - اليوم السابع @url,offensive,indirect,indifference,other,women,"Pictures... Ahmed, the victim of harassment... defended his sister, but the accused broke into his house and smashed his head - Youm7 @url"
812,تربية الشاب على احترام الفتاة وعدم التحرش بها أولى من حبس الفتاة بحجة الخوف عليها ..,normal,indirect,sadness,other,women,Raising a young man to respect girls and not harass her is better than imprisoning a girl on the pretext of fear for her.
813,ياخي عجزت افهم هالذكور الي منشغلين بأكساس الحريم @url,offensive,indirect,disgust,origin,other,"Brother, I can't understand these males who are busy with harem sex @url"
814,طلبات الرجال اكثر من الحريم,normal,indirect,indifference,other,other,Men have more demands than harems
815,ممكن تعطينى دليل واحد من كتبك او من علمائك على حرمة اوكراهية شرب بول البعير   .... @url,normal,direct,indifference,other,individual,Can you give me one piece of evidence from your books or from your scholars that it is forbidden or disliked to drink camel urine.... @url
816,@user @user نحن كمصريون حاربنا بما فيه الكفاية لذا سنترك المجال لتحرير فلسطين لخنازير البنا وجماعة سما… @url,offensive,direct,indifference,origin,other,"@user @user We, as Egyptians, have fought enough, so we will leave the field to liberate Palestine to the pigs of Al-Banna and the Sama group... @url"
817,*قانون التحرش الجديد العقوبة سنه واحده...*,normal,indirect,indifference,gender,women,*The new harassment law punishes one year...*
818,والهدف الإقالة للخلاص من خنازير إنجلترا.,hateful,direct,shock_indifference_disgust,origin,other,The goal is dismissal to get rid of the pigs of England.
819,@user @user @user @user المشكلة الحريم يصرخو والاطفال يبكو هنا الواحد يتربش، الله لايحط احد نفس الموقف,normal,indirect,confusion_indifference,other,other,@user @user @user @user The problem is that the harem is screaming and the children are crying. Here one is wandering around. May God not put anyone in the same situation.
820,@user @user @user @user هولاء الافارقه الخنازير الذين اختاروا الشرك والكفر والظلاله مع بريطانياز… @url,hateful,direct,disgust,origin,african_descent,"@user @user @user @user These are the swine Africans who chose polytheism, disbelief, and misguidance with the British... @url"
821,و قول ان النقاب كمان بعيدا عن الدين و انه عفة و سبيل ل تقليل الفتنه اللي انتو بتقولو سبب التحرش هو حرية شخصية وان… @url,normal,indirect,sadness,other,women,And saying that the niqab is also far from religion and that it is chastity and a way to reduce strife. What you say is the reason for harassment is personal freedom and that... @url
822,@user @user ترة هي مسيحية نولدت بعائلة مسيحية يعني احنا لو ما مولودين بعائلة شيعية الله العالم يجوز هندوس… @url,hateful,direct,disgust,religion,christian,"@user @user She is a Christian and was born into a Christian family. This means that if we were not born into a Shiite family, God Almighty may be Hindu... @url"
823,@user @user شو حالات شاذه اخوي دراسه تقول اكثر من ٦٠ ٪ حالات التحرش  بالاطفال في المدارس السعودية وقضايا اللواط ،,offensive,indirect,indifference,gender,other,"@user @user What are the abnormal cases, my brother? A study says more than 60% of cases of child molestation in Saudi schools and cases of sodomy."
824,#ديوث من الغربية تعال خاص,offensive,direct,indifference,origin,other,"#Cuckold from the West, come private"
825,طبعا خنازير العرب زعلانين ان فريقهم فاز لان بديل مورينيو هو اللي سجل.. اخضع لعمك يا خنزير,abusive_disrespectful,indirect,sadness,origin,arabs,"Of course, the Arab pigs are upset that their team won because Mourinho's substitute was the one who scored.. Submit to your uncle, pig."
826,@user @user أنت خنزير غبي,offensive,direct,indifference_disgust,other,individual,@user @user You are a stupid pig
827,تتبرج النساء وتُهجر المساجد,normal,indirect,indifference,other,women,Women adorn themselves and leave the mosques
828,@user @user مدري شفتي التحرش ؟!,normal,indirect,indifference,gender,women,@user @user I don't know if you saw harassment?!
829,أمي الله يهديها قاعده تقول ليتك ما انولدت قلت لها ليش قالت ياخي ابلشوني الحريم كل شوي يسألوا كيف جبتي عسل.,normal,indirect,indifference,other,individual,"My mother, may God guide her. She kept saying, “I wish you had never been born.” I told her, “Why did she say, ‘Brother?’ The harem makes me mad every now and then, asking how you got honey.”"
830,@user @user انا شو قلت ما ارضى عَل خنزير يعني ربعي مب خنازير و ف نفس الوقت مب بشر,abusive_hateful,direct,shock,other,other,"@user @user Did I say that I am not satisfied with a pig? I mean, a quarter of me is not a pig and at the same time not a human."
831,@user @user @user والله انك تخسى يا خنزير يا منعل ال سلول,offensive,direct,indifference,other,individual,"@user @user @user I swear to God, you are ashamed, you pig, you who make salool"
832,@user ليلة جلد خنازير مانشستر,hateful_disrespectful,indirect,indifference,other,other,@user Manchester pig skin night
833,بتكون خنزير وتافه وفاشل اذا بتوصل عمر ٢٣ وبعدك قاعد عند اهلك,abusive_disrespectful,indirect,indifference,other,individual,"You will be a pig, a petty person, and a loser if you reach the age of 23 and then stay with your family"
834,@user @user انصح رهف بالانسحاب سالفه التحرش قويه ماتقدر ترقعها,offensive,direct,sadness,gender,individual,"@user @user I advise Rahaf to withdraw, as the previous harassment is too strong to be corrected"
835,عشان انت بس مش وسخ زيها ولا وسح زيهم فده حصل بالطريقة دى معاك تقريبا,normal,indirect,indifference,other,individual,"Because you are not as dirty as her or as dirty as them, it almost happened in this way to you"
836,معروف خنزير من يومه,disrespectful,direct,indifference,other,individual,Known as a pig from his day
837,يكفي انك جبان تسولف بالدايركت مثل الحريم تدور النقنقه,offensive,indirect,indifference_disgust,other,individual,"It is enough that you are a coward, playing around on Direct like a harem, having a chat"
838,يا هيه .. ترى الحريم ليسوا مخلوقات مختلفة عن الرجال.,abusive_normal,direct,indifference,gender,women,"Hey, you see, harems are not different creatures from men."
839,زي ما في حملات ضد التحرش والتنمر والعنصرية وو ياريت نشوف حملات ضد العقاب الابوي وتسلطهم وتشويه نفسية ابنائهم، عمر و… @url,offensive,indirect,confusion_fear_indifference_sadness_disgust,other,other,"As there are campaigns against harassment, bullying, and racism, I hope we see campaigns against parental punishment, their bullying, and the psychological distortion of their children, Omar and… @url"
840,@user @user @user سوداني ويسأل عن بول البعير انتوم رعاة الإبل طيب,offensive,direct,indifference,origin,other,@user @user @user Sudanese and asking about camel urine. You are good camel herders
841,ولا يصير هرجك مثل الحريم يا حرمة,abusive_disrespectful,indirect,anger_disgust,other,women,"And do not let your fuss become like a harem, Hurmah"
842,رجعوا الحريم دي المطبخ واقفلوا الباب وارموا المفتاح في الشلال,offensive,indirect,sadness,gender,women,"Go back to the kitchen, lock the door, and throw the key into the waterfall"
843,@user @user ازمنة الانحطاط افرزت امثالك ايها الجبان المتفذلك .. فأنت لست سوى خنزير تدافع عن خنازير… @url,hateful,direct,indifference,other,individual,"@user @user The times of decadence have produced people like you, you arrogant coward. You are nothing but a pig defending pigs... @url"
844,ويبقى التحرش تحرشا ، إلى أن يقوم به الشخص المناسب فيدعى حبا و عشقا..,offensive,indirect,shock,other,women,"Harassment remains harassment until the right person does it, and it is called love."
845,@user @user ههههههههه روح اشرب بول البعير ونام ههههههههههههه,abusive,direct,indifference,other,individual,@user @user Hahahaha Go drink camel urine and sleep Hahahahahaha
846,@user ١٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠ مليون داهيه تتحرق بجاز وسخ في جهنم يا بعيد,hateful,indirect,shock,other,individual,@user 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000‐000‐00‐00‐00‐000 in Hell.
847,ولا انسان ولا نيله ده قلب خنزير واتغسل بمواد كيميائية تقريبا لحد ما لونه اتغير .. ده اللي انا فاكره @url,disrespectful,direct,shock,other,other,"Neither human nor human, this is a pig's heart and it was washed with chemicals almost to the point that its color changed.. This is what I remember @url"
848,شارب بول البعير ويتغسل به ويتبارك به اسهل عليه ياكل الضب @url,disrespectful,indirect,indifference,other,other,"If someone drinks camel urine, washes himself with it and is blessed with it, it is easier for him to eat lizards @url"
849,وبعدين جنوب افريقيا اصلاً سوداء والبيض محتلي… @url,offensive,indirect,shock,origin,african_descent,Then South Africa is already black and the whites are occupied... @url
850,هتش الضرطه سابقا هي الذراع الايمن لداعش ولنظام الإرهاب الايراني وميليشيات العلويين ومليشيات الع… @url,normal,indirect,indifference,other,other,"HTS, formerly the right arm of ISIS, the Iranian terrorist regime, the Alawite militias, and the Syrian militias… @url"
851,#ديوث #سالب #شرموطة,abusive_offensive_disrespectful_hateful_normal,indirect,anger_disgust,other,individual,#Cuckold #Negative #Bitch
852,@user @user جويل مهتم بشغلات الحريم .. @url,abusive_normal,direct,shock,gender,women,@user @user Joel is interested in harem stuff.. @url
853,خنازير #ابوظبي الدياثه,offensive,direct,anger_disgust,origin,other,#Abu Dhabi cattle pigs
854,مثل الحريم همّه القيل والقال,offensive,direct,indifference_disgust,other,individual,"Like a harem, its only concern is gossip"
855,@user @user @user @user @user خليك هنا يا احمد اقتص من الحريم دول انا هنام,abusive_disrespectful,direct,shock_indifference,other,women,"@user @user @user @user @user Stay here, Ahmed, take revenge from this harem, I am sleeping"
856,لو ذكر خنازير وباعة الكضيه خنزيرة شرق سلوى الله كما يرددون اسم محمد بن سلمان لأصبحو من اولياء الله الصالحين,disrespectful,indirect,indifference,other,other,"If pigs and kadiya sellers mentioned a pig east of Salwa Allah as they repeat the name of Muhammad bin Salman, they would become among the righteous saints of Allah."
857,رجعنا مجبورين الخاطر يارب.. افريقيا ياأهلي,normal,indirect,indifference,other,other,"We returned, forced to think, O Lord.. Africa, my family"
858,#يعجبك_السهر_اكثر_او_النوم بعض الحريم كذا @url,normal,indirect,indifference,other,individual,#You_like_to_stay_up_more_or_to_sleep_some_of_the_harem_like_this @url
859,من عجائب وغراب القوم عندما يأكل لحم البعير يرجع يجدد الوضوء  ....وعندما يشرب بول البعير عادي عنده ....؟!,normal,indirect,shock,origin,other,"One of the wonders and strangeness of the people is that when they eat camel meat, they renew their ablution...and when they drink camel urine, is it normal for them...?!"
860,رسميًا مؤمن زكريا لاعب وسخ,offensive,indirect,indifference,other,individual,"Officially, Moamen Zakaria is a dirty player"
861,@user @user شي مضحك ان خنازير مستعربة مثلك يا يهودي يتكلم ع محمد بن سلمان كأن له الحق في اختيار من هو الا… @url,hateful,indirect,indifference,other,other,"@user @user It's funny that Arabized pigs like you, a Jew, are talking about Mohammed bin Salman as if he had the right to choose who he is... @url"
862,من ملانه ولا زهقانه تعي ندردش سوالف منحرفة,offensive,direct,indifference,other,individual,"If you are bored or bored, you are ready to chat with perverted sideburns"
863,يعني الاجيال القديمه بنفس المكان و البلد و نفس العادات و التقاليد مسوين طالعين منها عشانها اقليه بالممكله قسم بالله… @url,normal,indirect,shock,origin,other,"I mean, the old generations, with the same place and country, and the same customs and traditions, are coming out of it because they are a minority in the kingdom, I swear to God... @url"
864,امرابط مشا للدوري الهولندي.. مبروك تفارق مع شاربي بول البعير,hateful,direct,indifference,other,other,Amrabat Misha for the Dutch League.. Congratulations on parting with the camel’s urine drinkers
865,نيتك هيا للي حترسملك حياتك كلها فلو نيتك امسخه ومش نظيفه ونتا إنسان وسخ حتنفضح حتنفضح يا زباله ☺️,disrespectful,direct,indifference,other,individual,"Your intention is the one that will deprive you of your entire life. If your intention is dirty and not clean, and you are a dirty person, you will be exposed, you will be exposed, you garbage ☺️"
866,طبعا دا ملوش علاقة بالتحرش عشان التحرش دا ابن متناكة موجود ف كل حتة,abusive_disrespectful,indirect,disgust,other,individual,"Of course, this has nothing to do with harassment, because this harassment is present everywhere"
867,كل متبرجه تحرم عليها رائحة الجنه,normal,indirect,sadness,gender,women,Every woman who adorns herself will be deprived of the scent of Paradise
868,ياخي حقين الفوردات يصدمون كل شي ياخي مهابيل ياخي ما يعرفون يسوقون  عاد الحين مع سواقه الحريم يا ساتر حريم و فورد… @url,offensive,indirect,indifference,gender,women,"Oh brother, it's true that Fords hit everything, brother, Mahabel, brother, they don't know how to drive, now with the harem drivers, oh protector of harem and Ford... @url"
869,@user @user @user هههههه و الله انكم مسخرة الشعوب يا شعب الصفر يا كفار قريش متواكم جهنم ان شاء الله يا شاربي بول البعير,offensive,direct,indifference,other,other,"@user @user @user Hahahaha, by God, you are the mockery of the peoples, you people of zero, you infidels of Quraysh, you will end up in Hell, God willing, you drinkers of camel’s urine."
870,@user @user محمد صلاح فاشل.  ممكن لو بياكل الكبسه ويشرب بول البعير وينام علي الكنبه وهو بيلاعب بلس… @url,hateful,direct,shock,other,individual,"@user @user Mohamed Salah is a failure.  Maybe he eats cabbage, drinks camel urine, and sleeps on the sofa while playing Plus… @url"
871,دريت ان اعضاء جسمي كلها بايره في بايره,normal,indirect,indifference,other,individual,I knew that all the parts of my body were in complete disarray
872,شي طبيعي قناة خنازير  #الجزيرة_تطعن_بالقران_الكريم,offensive,indirect,anger_disgust,origin,individual,It's natural. Pig channel #Aljazeera_stabs_the_Holy_Quran
873,وهنا جايبين بزرنجي توه طالع من السجن بتهمة التحرش بطفل يشرح للبنات مراحل الفحص الذاتي لسرطان الثدي @url,offensive,direct,shock,other,individual,"Here, Jabin Bazanji, just released from prison on charges of molesting a child, explains to girls the stages of self-examination for breast cancer @url"
874,و وراء كل امرأة متبرجة بالشارع  ديّوث فاقد لرجولته وغيرته.!!!,abusive_disrespectful,indirect,sadness,other,women,Behind every woman dressed in the street is a cuckold who has lost his manhood and jealousy.!!!
875,ليست فقط #لبنان بل أغلب مجتمعات الدول العربية للأسف الشديد تفتقد لثقافة حماية ضحايا الاغتصاب أو التحرش.,normal,direct,sadness,gender,women,"Not only #Lebanon, but most societies in Arab countries, unfortunately, lack a culture of protecting victims of rape or harassment."
876,@user @user @user @user حتى بول البعير يتنج حمقى مثلك معاتيه,disrespectful,direct,anger_disgust,other,individual,"@user @user @user @user Even camel urine produces fools like you, Maatieh"
877,@user @user انت جالس تكذب على نفسك ياحمار بعيركم المعقّل معترف بلسانه بجلب خنازير شريفه وكلاب العصملي .وفو… @url,offensive,direct,indifference,other,individual,"@user @user You are sitting and lying to yourself, you donkey. Your ferocious camel admits with his tongue that he brought honorable pigs and Al-Asmali dogs. And so… @url"
878,قانون لا يجرّم الاغتصاب ولا التحرش ومايعترف في الاناث ويدعم المتحرشين كيف بتتوقعون المجتمع يصير؟ المجرم يسوي الي يب… @url,normal,indirect,indifference,gender,other,"A law that does not criminalize rape or harassment, does not recognize women, and supports harassers. How do you expect society to become? The criminal does what he deserves... @url"
879,نظام انا بايره ياختي @url,offensive,indirect,shock,gender,women,"I like the system, sister @url"
880,liked @user video @url شاهد ماذا فعل شهاب لما عرف انه أكل لحم خنازير,normal,indirect,indifference,other,individual,@user liked the video @url Watch what Shihab did when he found out that he had eaten pig meat
881,@user @user خنازير وحشيه مجوسيه تم جمعها في الزريبه الخلفيه لايران للتدمير والقتل والسرقه والارهاب,abusive_hateful,direct,shock,origin,other,"@user @user Feral, malevolent pigs collected in the back barn of Iran for destruction, murder, theft, and terrorism."
882,لمن اضارب مع احد وسخ ازعل انو اهلي  مربيني كويس وما اقدر ارد عليه بالمثل,fearful_abusive_offensive_disrespectful_normal,indirect,indifference_disgust,other,other,"For those who quarrel with someone who is dirty, I feel upset that my family raised me well and I cannot reciprocate them."
883,يهدي الله لنوره من يشاء.. من هندوس وعجم والدين الصحيح بدأ ف… @url,normal,indirect,indifference,other,other,God guides to His light whomever He wills...from Hindus and Persians. The true religion began in... @url
884,لو جمعت بول البعير والضب ولباس المؤسس فانها تساوي ال ٣٠٠عام,abusive_offensive_hateful_disrespectful_normal,indirect,indifference,origin,other,"If you combine the urine of the camel, the lizard, and the founder’s clothing, it would be equal to 300 years"
885,عشان الحريم ترفع العبايات وهى معدية,normal,indirect,sadness,other,women,Because the harem raises the abayas and it is contagious
886,رعاع القوم وشاربي بول البعير يحاصرون شعباً يفوق عدد سكانه دولهم مجتمعه ، يحاصرون ويجوعون شعباً من اكرم وانبل شعوب ا… @user,hateful,indirect,indifference,origin,other,The rabble of the people and those who drink camel urine are besieging a people whose population exceeds their countries combined. They are besieging and starving one of the most generous and noble peoples in the world... @user
887,@user @user البعير رمز لابن الصحراء العربي الاصيل لكن انت تشرب من بول الخميني مخلوط مع بول كلب لكونك بدون اصل استمتع,hateful,indirect,anger_disgust,origin,other,"@user @user The camel is a symbol of the purebred Arab son of the desert, but you drink Khomeini’s urine mixed with dog urine because you have no origin. Enjoy."
888,@user @user @user روحي يابنت البعير انتي شابعه من بول البعير وجايه تسوي نفسك كيوته وراقي… @user,abusive_offensive,direct,shock,gender,women,"@user @user @user My soul, daughter of the camel, you are full of the camel’s urine and you are coming to make yourself cute and classy… @user"
889,@user @user تعلمنا السب و الشتم منكم يا احفاد شاربين بول البعير يا حمير لا تغير الموضوع حكومتك شاطره ع ال… @user,abusive_hateful,indirect,shock,other,other,"@user @user We learned cursing and cursing from you, grandchildren who drink camel’s urine, donkeys, do not change the subject, your government is on par with… @user"
890,جربتي التحرش وبعدها اتنكتي,normal,direct,shock,gender,women,You experienced harassment and then you joked
891,@user @user المسيحيه نمشيها لكن هندوس؟؟ بالله مين قليل الادب الي يعبد بقر!!,normal,indirect,indifference,religion,indian/hindu,"@user @user We accept Christianity, but Hindus?? By God, who is so immoral as to worship cows!!"
892,رؤساء اتحادات الرماية الافارقة في زيارة الي قناة السويس الجديدة .,normal,indirect,indifference,other,african_descent,Heads of African shooting federations on a visit to the new Suez Canal.
893,ان من اسس الى ثقافة منحرفة قدم فيها ال محمد الكرام عنوان معارضة ، وتجنب ان يقدمهم سادة وحكام وبناة حضارة.,normal,indirect,indifference,other,other,"Whoever founded a deviant culture in which the honorable family of Muhammad was presented as a symbol of opposition, avoided presenting them as masters, rulers, and builders of civilization."
894,*عاوز تسيب تجارة إنجلش اللى دفعنا فيها دم قلبنا و تروح تكتب افلام للسبكى و تساعد على إنتشار البلطجة و التحرش يا خول؟ @url,offensive,direct,anger_fear_indifference_sadness_disgust,other,individual,"*Do you want to leave the English trade, for which we have paid our hearts, and go write films for Al-Sabki and help spread bullying and harassment, brother? @url"
895,حاسس انى وسخ قوى ونفسي انضف,offensive,indirect,sadness,other,other,I feel like I'm dirty and I feel cleaner
896,ويجي واحد خنزير يقوليك بايعين الارض @url,disrespectful,direct,shock,other,other,And a pig comes and tells you to sell the land @url
897,@user @user من عبد اللطيف إلى أصغر سلتوح كلهم خنازير,abusive_hateful,indirect,shock,origin,individual,"@user @user From Abdul Latif to Asghar Saltouh, they are all pigs"
898,طبيعي يا عالم يا وسخ من ايام الفارابي للأن محد قدر يسوي هالمدينه الصغيره الجميله؟,offensive,indirect,anger_indifference,other,other,"It's normal, oh world, you're filthy, since the days of Al-Farabi until now, no one has been able to do justice to this beautiful small city?"
899,نفس المجتمع: عاهرة.. سافرة.. متبرجة.. شك…,abusive_disrespectful,indirect,indifference,other,women,The same society: a prostitute... a vulgar woman... a vulgar woman... a doubt...
900,@user @user ايه والله نعبد الوساخة عبادة، عندك شي وسخ؟,offensive,direct,disgust,other,other,"@user @user What, by God, we worship filth, do you have anything dirty?"
901,من اسباب ظاهرة التحرش بالمرأة: @url,normal,indirect,indifference,other,women,One of the reasons for the phenomenon of harassment of women: @url
902,@user @user @user @user لا تخربي الحريم...يالو,offensive,direct,anger_confusion_shock_indifference_disgust,gender,women,@user @user @user @user Don't ruin the harem... Hello
903,قتل خنزير بري في جزيرة البوذياب شمالي الرمادي,abusive_offensive,indirect,indifference,other,other,"A wild boar was killed on Budhiab Island, north of Ramadi"
904,-والله كانت متبرجه يا شيخ,offensive,indirect,anger_sadness_shock_indifference_disgust,other,women,"-By God, she was wearing makeup, Sheikh"
905,إيقاف مهاجم أحد الأندية العربية مبارتين في قضية التحرش الشهيرة @url,normal,indirect,indifference,other,individual,An Arab club striker was suspended for two matches in the famous harassment case @url
906,#خبر جديد: اللاجئون الفلسطينيون بالعراق يدخلون ضمن صفقة القرن وهذه الدولة بدأت تحتضنهم,normal,indirect,shock,other,refugees,"#New news: Palestinian refugees in Iraq are included in the deal of the century, and this country has begun to embrace them"
907,قاتل الله قروبات الحريم الي شغالين ٢٤ ساعة خلاااص قرررقه,hateful_disrespectful,indirect,shock,gender,women,May God kill the harem groups that operate 24 hours a day
908,عشاق أكل الضب و شرب بول البعير,hateful,indirect,indifference,origin,muslims,Lovers of eating lizards and drinking camel urine
909,اه يا عشوائي يا وسخ,offensive,direct,shock,origin,individual,"Oh, random, dirty"
910,@user @user لا تنسى ان بيننا خنازير,abusive_disrespectful,indirect,indifference,other,other,@user @user Don't forget that we have pigs among us
911,@user @user @user شكرا ياحمار اكدت الراي اللي بقوله بقالي 5ايام ان خنازير البنا هي ال… @url,abusive_hateful,direct,shock,other,individual,"@user @user @user Thank you, donkey. You confirmed the opinion that I have been saying for 5 days that pigs are the… @url"
912,تفاصيل زيارة وزراء الداخلية والصحة لمنطقة “حوباء” عقب اشتباكات دامية بسبب التحرش بفتاة @url,normal,indirect,anger_indifference,other,other,Details of the visit of the Ministers of Interior and Health to the “Hawba” region following bloody clashes over the harassment of a girl @url
913,لان الحريم عسل ....!,normal,indirect,indifference,other,women,Because the harem is honey....!
914,من فوائد بول البعير تحقيق اعلى مراتب الفشل حتى في ابسط العمليات السرية للاستخبارات كعملية  #اغتيال_خاشقجي التي فضحت… @url,abusive_offensive_hateful_disrespectful,indirect,indifference,origin,other,"One of the benefits of camel urine is achieving the highest levels of failure even in the simplest secret intelligence operations, such as the #Khashoggi_assassination operation, which was exposed… @url"
915,وشلون تقنع الحريم بالبساطه ؟,disrespectful_normal,indirect,indifference_disgust,other,women,How do you convince the harem of simplicity?
916,@user @user حتى انت تتكلم عن مرزوق لكن مرزوق بطل قام طردكم من القاعه يا خنزير,normal,indirect,indifference_disgust,other,individual,"@user @user Even you are talking about Marzouk, but Marzouk is a hero and he expelled you from the hall, you pig"
917,لأن الحريم نادرا مايمدحن احد في وجهه,disrespectful,indirect,fear,other,women,Because the harem rarely compliments anyone to their face
918,@user @user @user @user تقدر تطرد لو خنزير واحد من خنازير الميلشيات الايرانية التي عاثت في العراق فساد؟ طبعا .. لا ..,abusive_disrespectful,direct,anger_disgust,origin,individual,@user @user @user @user Can you expel even one pig from the Iranian militia that has wreaked corruption in Iraq? Of course.. no..
919,@user @user لصوص خنازير @url,offensive,direct,indifference,other,other,@user @user Pig thieves @url
920,@user @user بربر اختك يا شارب بول البعير. تونس تشرفك وتعرفك يا جاهل يا وهابي,disrespectful,direct,disgust,other,individual,"@user @user Your sister is barbaric, you drinker of camel urine. Tunisia honors you and recognizes you, you ignorant Wahhabi"
921,@user @user بول البعير جاب لنا نفط سعر البرميل 77$ وبنصدر يوميا 12 مليون برميل بول بعير,normal,indirect,indifference_disgust,other,other,@user @user Camel urine brought us oil at a price of $77 a barrel and we export 12 million barrels of camel urine daily
922,تبقي بايره ومش لاقيه كلب,offensive,indirect,shock,other,individual,You're lost and you can't find a dog
923,كله من الحريم,normal,direct,indifference,gender,women,It's all from the harem
924,وجيههم مغسوله بمرق خنازير وعادي عندهم,hateful,direct,indifference,origin,other,"Their faces are washed with pork broth, which is normal for them"
925,ما تزوجيش و ما يقولوش عليك بايرة و معندهاش لي يحكم فيها و يسترها #في بلادك تقدري,offensive,direct,indifference_disgust,gender,women,Don't get married and they won't tell you anything is wrong and you don't have anyone to rule over it and cover it up #in your country you can
926,@user @user لما قال علي قلعة مصر ورمزها النادي الاهلي عصابه ونصابين وحراميه ده وزير ولا بلطجي وسخ هو والي نشجعه علي امال ماهر دمرها,offensive,direct,shock,origin,individual,"@user @user When he said that the Egyptian Citadel and its symbol, Al-Ahly Club, is a gang, swindlers, and thieves, this is a minister, not a dirty thug. He is the one we encourage against Maher’s hopes, he destroyed them."
927,حركات طفوليه جداُ منك حتي قدري الهدايا اللى خدتيها من الراجل و بطلي شغل الحريم دا!,disrespectful_normal,indirect,shock,other,individual,"Very childish gestures from you, even though I appreciated the gifts you received from the man and stopped doing this harem job!"
928,يوميات بايرة. @url,offensive,direct,indifference,gender,women,Bayra's diary. @url
929,يقال عن المرأة أنها أدخلت #جن في قرعة# لكن للأسف لم تستطع حتى إدخال رجل إلى #قفص ذهبي#  قعدتي تبعي في القرع حتى بقيتي بايرة,offensive,indirect,sadness,gender,women,"It is said about a woman that she put a #jinn into a lottery, but unfortunately she was not even able to put a man into a #golden cage. You sat following me in the lottery until you were left dead."
930,@user @user أين وصلت ياشارب بول البعير,offensive,direct,shock,other,individual,"@user @user Where have you reached, drinker of camel urine?"
931,@user @user الواد المصري الوسخ من الإخوان. .خنزير مثلهم.....لكن أعلم تماما أن الشعب المصري مع السعودية… @url,hateful,direct,shock,other,other,@user @user The dirty Egyptian valley of the Brotherhood. A pig like them...but I know full well that the Egyptian people are with Saudi Arabia... @url
932,@user @user @user انتم خنازير اليهود والصليبيين انتاج بلادنا بلاد المسلمين جميعا 12000000مليون برمي… @url,hateful,direct,anger_disgust,religion,other,"@user @user @user You are the pigs of the Jews and the Crusaders. The production of our country, all of the Muslim countries, is 12,000,000 million barrels... @url"
933,هيتشول وليتوك خنازير,offensive_disrespectful,direct,anger_disgust,other,individual,Heechul and Leeteuk are pigs
934,وحده بالواتساب حاطه يم نكها فيس خنزير وانتو الكرامه,offensive,indirect,indifference,other,individual,"Alone on WhatsApp, put a yum flavor on the face of a pig, and you are the dignity"
935,@user @user ممكن اذا مالك أهل بس غيرك متربيه وتعرف أن رضاء الوالدين من رضاء الله ملي بيرضاء في وحده متبرجه !,abusive_disrespectful,indirect,sadness,gender,women,"@user @user It is possible if you have no family, but others are educated, and you know that the satisfaction of your parents is part of God’s satisfaction, so please be satisfied with someone who is adorned!"
936,محسون خفيف يحب الحريم الحلوات #cukurheryerde,offensive,direct,indifference,other,women,Mahsoun Khafif loves sweet harem #cukurheryerde
937,@user @user شرك وكفر بالله عز وجل لو كان علي رضي الله عنه ينجيكم من الكرب لنجى نفسه من الموت يا خنازير ....,offensive,direct,sadness,religion,individual,"@user @user Polytheism and disbelief in God Almighty. If Ali, may God be pleased with him, could save you from distress, he would save himself from death, you pigs...."
938,@user @user والله كيف يندس ي خنزير هذاك الشخص اتي بجواز مزور ولا احد يعلم عنه  يا نجس,hateful,indirect,anger_disgust,other,individual,"@user @user I swear to God, how can he be infiltrated, you pig? This person came with a forged passport and no one knows about him, you unclean person."
939,مرة كان فيه دكتور يدرسنا لابتوبه كل أبوه كاتشب وأكل، وسخ مقزز، وما كان فيه برجكتر، فكنا نضطر نطالع في لابتوبه,abusive_offensive_disrespectful_hateful_normal,direct,indifference,other,individual,"Once upon a time, there was a doctor who taught us on his laptop, which was all ketchup and food, disgusting dirt, and there was no projector on it, so we were forced to look on his laptop."
